IO,0 Instruction register out
II,1 Instruction register in
RO,2 RAM out
RI,3 RAM in
M1I,4 MAR1 in
MI,5 MAR0 in
SU,6 Subtract
EO,7 Sum out
BO,8 B register out
BI,9 B register in
AO,10 A register out
AI,11 A register in
OI,12 Output register in
CO,13 Counter out
JU,14 Jump
HA,15 Halt
CE,16 Counter enable
MNO,17 Memory next out
SJ,18 Step jump
LCE,19 Load counter enable
LCO,20 Load counter out
SCD,21 Step counter disable
JUI,22 Jump register 0 in
ASU,23 Arithmetic Status Update
OAI,24 Output register address register in
ORA,25 Output register activate
ORFO,26 Output register flag out
ORC,27 Output register clear
JU1I,28 Jump register 1 in
